,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
4039,0,0,1,1,14,1,2,2,1,1,1,1,1,1,0,0,3,25.55,3204
7140,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,45.95,3826
4072,0,0,0,0,60,1,2,1,0,0,2,0,0,0,1,1,0,79.2,4035
3320,0,1,0,0,4,1,2,1,2,0,0,0,0,0,0,1,2,80.25,2635
7403,1,0,1,0,14,1,2,1,0,0,0,0,2,0,0,1,2,86.1,431
2268,0,0,0,0,31,1,0,1,2,0,2,2,0,0,0,0,2,87.6,2368
6612,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,69.55,5447
184,1,0,1,0,5,1,2,1,0,2,0,0,0,0,0,1,2,78.75,3512
1557,0,0,0,0,29,1,0,1,0,0,0,0,2,0,0,1,2,78.9,2021
5556,1,0,0,0,4,0,1,0,0,0,2,0,0,0,0,1,2,29.65,337
2759,1,0,1,0,70,0,1,0,2,0,2,2,0,0,2,1,1,39.15,2342
6687,0,1,1,0,68,1,2,1,0,2,0,0,2,2,0,1,2,100.2,5411
420,0,0,0,0,9,1,0,1,0,2,2,0,0,0,0,0,2,80.55,5225
5839,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,45.95,3826
553,1,1,1,0,55,1,2,1,0,2,2,2,2,2,2,1,2,113.6,5083
1397,1,0,0,0,11,1,0,1,2,0,0,0,0,0,0,1,2,73.5,5982
6960,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,2,45.15,6501
5037,0,0,0,0,68,1,0,2,1,1,1,1,1,1,2,0,1,20.5,786
4861,0,0,0,0,20,1,0,2,1,1,1,1,1,1,0,1,0,19.5,3521
1760,1,0,1,1,71,1,0,2,1,1,1,1,1,1,2,0,3,19.8,722
4577,1,0,1,1,69,1,2,0,0,2,2,2,2,2,2,1,0,81.95,4640
297,0,0,1,0,70,1,0,2,1,1,1,1,1,1,2,0,0,19.8,725
443,1,1,0,0,2,1,0,0,2,0,2,0,2,0,0,0,0,66.4,6423
4609,1,0,1,1,38,1,2,0,2,0,2,2,2,2,2,1,0,85.4,2860
4015,0,1,0,0,42,1,2,1,0,0,0,0,2,0,0,1,2,84.65,3068
1119,1,0,0,0,71,0,1,0,2,2,2,2,2,0,2,0,0,53.95,3328
7311,1,0,0,0,31,1,2,1,0,2,2,0,2,2,1,1,2,103.45,2662
4372,1,0,1,0,38,1,0,2,1,1,1,1,1,1,2,0,0,20.4,5742
1701,0,0,1,1,28,1,2,0,0,0,0,0,0,0,0,0,3,49.9,751
2531,1,1,0,0,9,1,2,1,0,0,2,0,2,2,0,1,2,100.5,6362
5693,0,1,1,1,3,1,0,1,2,0,0,2,2,0,0,1,3,88.3,2377
693,0,0,0,0,60,1,0,2,1,1,1,1,1,1,2,0,3,20.6,183
1339,1,0,1,1,69,1,2,1,0,0,0,2,2,2,2,1,2,99.35,5412
1921,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,43.95,3661
655,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,67.75,299
1840,0,0,0,0,54,1,2,1,0,0,0,2,2,2,0,1,2,100.1,4523
5603,1,0,0,0,69,1,2,1,0,0,2,2,2,2,2,1,0,106.5,5693
181,0,0,1,1,48,1,2,0,0,2,0,2,2,2,2,0,2,79.65,3312
880,0,0,0,0,9,1,0,2,1,1,1,1,1,1,0,0,0,20.15,2017
794,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,20.05,1607
3282,1,1,1,0,24,1,2,1,2,0,0,0,0,0,0,1,2,78.85,1296
2471,0,0,0,0,42,1,2,1,2,0,2,0,2,2,0,1,2,105.2,3752
5377,0,0,1,1,67,1,2,1,2,0,0,2,0,2,1,1,1,94.35,5123
2399,0,0,0,0,13,1,0,1,0,0,0,0,0,2,0,1,2,80.5,27
2457,0,0,1,1,71,1,0,0,2,0,2,0,2,2,2,0,1,77.55,4617
2142,1,1,1,0,59,1,0,1,2,2,2,0,0,0,1,1,1,82.95,4153
2499,1,1,0,0,21,1,2,1,0,2,2,0,2,2,0,1,2,104.35,1907
4210,1,0,1,0,72,1,2,1,2,2,2,2,2,2,2,0,0,115.15,6158
4554,0,0,1,1,45,0,1,0,2,0,0,0,2,2,0,1,0,50.9,1969
4101,0,0,1,0,7,1,0,1,0,0,0,0,2,0,0,1,2,81.1,4753
5638,1,0,0,0,3,0,1,0,0,2,0,0,0,0,0,1,2,29.6,5967
530,1,0,1,1,22,1,2,1,0,0,2,0,2,0,0,1,2,88.75,1459
6034,1,0,1,1,3,1,0,0,0,2,2,0,0,0,0,1,3,56.15,1168
1795,0,1,1,0,60,1,2,1,2,2,2,2,2,2,2,1,0,116.05,5466
3375,1,0,1,1,46,1,2,2,1,1,1,1,1,1,1,0,2,24.9,326
7341,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,44.7,3746
6792,1,0,1,1,4,1,2,1,0,2,2,0,0,0,0,1,0,84.8,3201
710,1,0,0,0,3,1,0,1,0,0,2,2,2,2,0,1,2,98.7,2532
5661,0,0,0,0,12,1,2,0,0,0,0,2,2,2,1,0,3,74.05,6271
7654,0,0,0,0,4,1,0,2,1,1,1,1,1,1,0,0,0,20.95,6211
558,1,0,1,1,37,1,2,0,2,0,2,2,0,0,2,1,1,62.8,1916
6559,1,0,0,0,24,1,0,1,0,0,0,2,2,2,0,1,2,96.0,1750
6684,0,0,0,0,39,1,2,1,0,2,2,0,2,2,0,1,2,103.45,3411
1371,0,0,1,0,3,1,2,1,0,0,0,0,0,0,0,1,1,75.15,1776
2807,1,1,0,0,7,1,2,1,0,0,0,0,2,0,0,1,2,84.8,4536
6497,0,0,0,0,6,1,0,1,0,0,0,0,2,2,0,1,2,89.5,4730
1744,0,0,1,1,63,1,2,1,2,0,0,0,2,2,1,1,1,99.65,5104
7326,1,1,1,0,1,1,2,1,0,0,0,0,0,0,0,1,2,73.55,5667
907,1,0,1,1,72,0,1,0,2,2,2,2,2,2,2,1,1,64.8,3993
5967,1,0,1,0,3,1,0,2,1,1,1,1,1,1,0,1,1,20.55,4300
7723,0,0,1,1,2,1,0,1,0,2,0,0,0,0,0,1,0,73.55,835
1433,0,0,1,0,39,0,1,0,2,0,2,0,2,2,0,0,2,55.9,1798
6964,0,1,0,0,16,1,2,1,0,0,0,0,2,2,0,1,2,96.15,952
6609,0,0,1,0,54,1,2,1,0,2,2,2,2,2,1,0,2,110.35,4833
4979,1,0,0,1,21,1,2,1,2,0,0,0,0,0,0,0,2,80.35,1267
6886,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,44.1,3736
5799,1,0,0,0,16,1,0,2,1,1,1,1,1,1,0,0,0,20.25,2845
3651,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,20.2,1610
3513,1,0,1,1,41,1,0,2,1,1,1,1,1,1,1,0,0,19.5,6003
4370,0,0,0,0,68,1,2,0,0,2,2,0,2,2,2,1,2,80.65,4458
926,1,0,0,0,35,1,0,1,0,2,2,0,2,2,1,1,0,102.35,3134
4084,1,0,1,0,51,1,2,1,2,2,0,0,0,2,1,1,1,96.4,4160
5697,1,0,0,0,3,1,2,1,0,2,2,0,2,2,0,1,0,105.35,2808
4376,0,0,1,0,72,1,0,2,1,1,1,1,1,1,2,0,0,19.4,893
15,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,3,50.9,4236
7434,1,1,1,0,27,0,1,0,2,0,0,0,0,0,0,0,1,30.75,6040
5823,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,3,54.75,4491
6721,0,0,1,0,16,1,2,1,0,2,0,0,2,2,0,1,2,100.0,964
2855,0,0,1,0,24,1,0,2,1,1,1,1,1,1,1,0,1,20.4,4072
315,1,0,1,1,11,1,0,2,1,1,1,1,1,1,0,1,2,20.45,2162
4436,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.1,1477
5544,1,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,3,44.95,3670
1161,0,0,1,1,25,1,0,1,0,2,2,0,2,0,0,1,0,89.15,1891
3298,0,0,0,0,10,0,1,0,0,2,0,2,0,0,0,0,2,36.25,3217
7650,0,0,1,0,72,0,1,0,0,2,2,0,2,2,2,1,2,54.2,3365
2718,1,0,0,0,34,0,1,0,0,0,0,0,0,0,0,1,0,25.05,6218
5900,0,1,0,0,16,1,0,0,0,0,0,2,2,0,0,0,2,59.4,49
4645,0,0,0,0,14,1,0,0,0,0,0,2,2,2,0,1,2,69.65,6374
4755,0,0,0,0,12,1,0,2,1,1,1,1,1,1,0,0,3,20.3,2111
1362,1,0,0,0,40,1,0,0,0,0,0,2,0,0,0,1,2,51.1,1721
414,0,0,0,0,4,1,0,2,1,1,1,1,1,1,0,0,3,20.05,6131
1212,0,0,0,0,42,1,0,1,0,2,2,2,2,2,0,1,0,103.8,3682
1876,0,0,0,0,13,1,2,1,0,0,0,0,0,0,0,1,3,75.0,6528
6717,0,0,1,0,2,0,1,0,0,0,0,0,0,2,0,1,2,35.1,5381
3464,1,1,1,0,40,1,2,1,2,0,0,0,2,2,0,0,2,101.85,3486
6052,0,0,1,0,13,1,2,1,0,2,2,0,2,0,0,0,2,94.1,393
2902,1,0,1,1,4,1,2,0,0,0,0,0,0,0,0,1,2,50.9,1885
1170,0,0,0,0,8,1,2,1,2,0,0,2,2,2,0,1,0,103.35,6198
4230,1,0,0,0,23,1,2,1,0,0,2,2,2,2,0,1,3,104.05,2121
2570,0,0,0,0,35,1,0,2,1,1,1,1,1,1,1,0,3,21.1,5731
2251,1,0,0,0,4,1,2,1,0,0,0,0,0,0,0,1,2,76.05,2763
1833,1,0,0,0,19,1,2,0,0,0,0,0,2,2,0,0,3,69.6,719
3142,0,0,1,0,63,1,0,1,0,2,0,0,2,2,1,1,2,96.0,4989
1859,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,1,2,75.55,1144
2398,1,0,0,0,69,1,2,1,0,0,2,2,2,2,2,1,0,106.5,5693
2310,0,0,1,0,61,1,2,1,0,2,0,2,0,2,2,1,0,94.35,4705
6759,0,0,0,0,70,1,2,1,2,2,2,2,2,2,1,0,1,115.55,6075
2402,0,1,0,0,33,0,1,0,2,2,2,0,2,2,0,1,0,59.45,1458
6862,1,1,1,0,24,1,2,1,0,2,2,0,2,2,0,1,2,104.25,2082
387,1,1,1,0,10,1,2,1,0,0,0,0,0,2,0,0,2,85.55,6216
5634,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,45.1,3812
1032,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3,70.45,5510
5014,1,0,0,0,59,1,2,1,0,2,2,2,2,2,0,1,2,111.35,5218
5138,1,0,0,0,6,1,0,1,0,2,0,0,2,0,0,1,2,85.35,4131
6675,0,1,0,0,2,1,0,1,0,0,0,0,0,2,0,1,2,79.6,1551
6195,0,1,1,0,3,1,0,1,0,0,0,0,2,0,0,1,2,80.4,1875
931,1,0,0,0,23,1,0,0,0,0,0,0,2,2,1,1,0,64.9,922
7359,1,0,0,0,3,1,2,1,0,0,0,0,0,2,0,1,2,85.3,2287
691,1,0,0,0,26,1,0,1,0,0,2,2,2,2,0,1,2,98.65,2190
1891,0,0,0,0,46,1,0,1,0,2,2,2,2,2,2,1,0,104.4,4155
3552,1,1,1,0,7,1,0,1,0,0,0,0,2,2,0,1,2,89.5,5353
3914,1,0,1,0,55,0,1,0,0,0,2,2,2,2,0,1,0,54.55,2572
6641,0,0,1,0,8,1,2,1,0,0,0,0,0,2,0,1,1,85.2,5074
6589,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,3,70.45,5510
44,1,0,1,1,70,1,0,0,2,2,2,0,2,2,2,1,1,80.15,4639
4233,0,1,1,0,15,1,2,1,0,0,2,2,0,0,0,1,2,83.05,469
7172,0,0,1,0,19,1,0,1,2,0,0,0,0,0,0,1,2,73.2,815
7670,0,0,0,0,22,1,0,0,2,0,0,0,0,0,0,1,1,48.8,103
3898,0,0,1,1,11,1,0,2,1,1,1,1,1,1,1,0,3,20.6,1966
4830,1,1,0,0,11,1,0,1,0,0,0,0,0,2,0,1,1,79.15,6121
4781,0,0,0,0,67,1,0,0,2,2,0,2,0,0,1,0,1,60.5,3311
1683,1,0,0,0,10,1,0,1,0,0,0,0,0,0,0,1,2,70.0,5726
5809,0,0,1,1,49,1,2,1,0,0,0,0,2,2,0,1,2,95.6,4043
2825,1,0,1,1,23,1,2,0,0,0,0,0,0,0,1,1,1,48.35,129
63,0,0,0,0,60,1,2,2,1,1,1,1,1,1,2,0,3,25.0,914
3424,1,0,0,0,30,1,0,0,2,2,0,2,2,0,1,0,2,70.4,1676
3879,0,0,1,1,3,0,1,0,2,0,0,0,0,0,0,0,1,29.7,6347
7447,0,0,0,0,2,1,0,0,0,0,2,2,2,2,0,0,2,76.4,1057
227,1,0,1,1,19,1,0,2,1,1,1,1,1,1,1,0,3,19.9,3093
7507,0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1,3,79.65,940
6080,0,0,0,0,12,1,0,1,0,0,2,2,0,2,0,1,2,89.4,190
2423,1,0,0,0,24,1,0,0,0,0,2,0,0,0,0,1,3,49.7,313
5167,0,0,0,0,9,1,2,1,0,0,0,0,2,2,0,0,2,94.4,6234
969,1,0,1,1,35,1,0,2,1,1,1,1,1,1,1,0,2,19.9,5292
1805,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,25.25,4784
6499,1,1,1,0,12,1,2,1,0,2,0,0,2,2,0,1,2,101.35,401
6779,1,0,0,0,3,1,2,1,0,0,0,0,0,0,0,0,3,75.0,1718
6695,0,1,0,0,11,1,0,1,0,2,0,0,2,2,0,1,2,95.0,231
5525,1,0,1,1,3,1,0,0,0,2,2,0,0,0,0,1,3,56.15,1168
3312,0,1,0,0,20,1,2,1,2,0,0,0,0,0,0,1,2,79.15,943
6839,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,3,25.8,2158
1860,0,0,1,1,69,1,0,2,1,1,1,1,1,1,2,0,0,19.7,723
5300,1,0,1,1,38,1,2,1,0,2,2,0,2,0,0,1,2,94.65,3131
4034,1,0,1,0,71,1,0,0,2,2,2,2,2,2,2,1,0,86.1,4942
5995,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3,69.4,5445
2688,1,0,0,0,4,1,2,0,0,0,0,2,0,2,0,0,3,65.55,2006
